#,Sex,Wr.Hnd,NW.Hnd,Wr.H,Fold,Pulse,Clap,Exer,Smoke,Height,M/I,Age
1,Female,19.5,20,,L on R,79,Right,Some,Never,170,Metric,24
2,Female,20.2,20.7,,R on L,80,Right,Freq,Never,168,Metric,26
3,Female,21,21.1,,L on R,82,Right,Some,Occas,158,Metric,27
4,Male,20.5,18.4,Right,Right,79,Right,Some,Never,173,Metric,28
5,Male,21.4,18.5,Right,Right,89,Right,None,Never,170,Metric,25
6,Male,20.5,21.1,Right,Right,79,Neither,Some,Never,178,Metric,28
7,Male,22.5,21.5, Right, L on R,64, Neither, Freq, Regul,189, Metric,22
8,Female,19.5,20.5, Right, L on R,75, Neither, Some, Never,163, Metric,23
9,Male,21,22, Right, L on R,66, Right, Some, Never,174, Metric,28
10,Male,22.5,22.7,Right,R on L,73,Neither,Freq,Never,181,Metric,28
11,Female,18.6,18.4,Right,R on L,88,Left,Freq,Occas,174,Metric,27
12,Male,22,22,Right,L on R,87,Right,Some,Regul,174,Imperial,28
13,male,21.8,22.7,Right,R on L,77,Right,None,Never,183,Metric,22
14,female,19.7,19.2,Right,R on L,79,Neither,Some,Never,168,Metric,23
15,Female,17.1,17.9,Right,Right,72,Neither,Some,Never,170.3,Metric,24
16,Male,21.6,20.6,Right,Left,75,Left,Some,Occas,176,Metric,23
17,Male,18.6,18.3,Right,Left,78,Right,Some,Never,184,Metric,23
18,Male,23.5,24,Right,L on R,86,Right,Freq,Never,189,Metric,28
19,Male,22.5,22.5,Right,Neither,59,Left,Freq,Never,182,Metric,25
20,Male,21.5,21.5,Right,R on L,83,Right,Freq,Occas,181,Metric,30
21,,,,,,,,,,,,
